Item,Amount,Price,Link,info,,,,,,,,,
ESP-32,1,I have one,,The brains of the system,,total price:,87.19,,,,,,
PCB,5(min),25,N/A,Amp and wiring,,,,,,,,,
glasses,1,free,N/A,3d printable amp holder,,,,,,,,,
Electrodes,12,46,here,For reading brainwaves,,,,,,,,,
Electrode gel,1,10,here,For conductive connection (I couldn't find one on aliExpress),,,,,,,,,
flux pen,1,2.44,here,for soldering on parts,,,,,,,,,
micro solder tips,1,0.99,here,to solder the parts on,,,,,,,,,
Caps and resistors:,7,2.76,here,needed to swich EEG and EMG (if I can't ship with the PCB I will pay for this),,,,,,,,,
Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C1854267,CC0805KKX7R9BB394,YAGEO,805,,50V 390nF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,50,50,50,0.0122,0.61,https://lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_yageo-cc0805kkx7r9bb394_C1854267.html
2,C53134,CL21B473KBCNNNC,Samsung Electro-Mechanics,805,,50V 47nF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,50,50,50,0.0121,0.61,https://lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_samsung-electro-mechanics-cl21b473kbcnnnc_C53134.html
3,C15850,CL21A106KAYNNNE,Samsung Electro-Mechanics,805,,25V 10uF X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,20,20,20,0.011,0.22,https://lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_samsung-electro-mechanics-cl21a106kaynnne_C15850.html
4,C49678,CC0805KRX7R9BB104,YAGEO,805,,50V 100nF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,100,100,100,0.0046,0.46,https://lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_yageo-cc0805krx7r9bb104_C49678.html
5,C465471,CR-05FA7--100K,Viking,805,,125mW Thick Film Resistor 150V ±100ppm/? ±1% 100k? 0805 Chip Resistor - Surface Mount ROHS,yes,100,100,100,0.0007,0.07,https://lcsc.com/product-detail/chip-resistor-surface-mount_viking-cr-05fa7-100k_C465471.html
6,C17513,0805W8F1001T5E,UNI-ROYAL,805,,125mW Thick Film Resistor 150V ±100ppm/? ±1% 1k? 0805 Chip Resistor - Surface Mount ROHS,yes,100,100,100,0.0018,0.18,https://lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-0805w8f1001t5e_C17513.html
7,C17630,0805W8F3300T5E,UNI-ROYAL,805,,125mW Thick Film Resistor 150V ±100ppm/? ±1% 330? 0805 Chip Resistor - Surface Mount ROHS,yes,100,100,100,0.0019,0.19,https://lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-0805w8f3300t5e_C17630.html
